         106992 function calls (103774 primitive calls) in 0.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1230    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      730    0.001    0.000    0.001    0.000 typing.py:1272(_value_and_type_iter)
        3    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
     1311    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      336    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      246    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      460    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.001    0.001 _nanfunctions_impl.py:1(<module>)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
   238/69    0.000    0.000    0.001    0.000 sre_parse.py:175(getwidth)
     4108    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      326    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      107    0.000    0.000    0.001    0.000 re.py:187(match)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
      372    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
       20    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      339    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
     1182    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:553(<listcomp>)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
       66    0.000    0.000    0.000    0.000 enum.py:89(__setitem__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       49    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
     1736    0.000    0.000    0.000    0.000 typing.py:560(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
      460    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      427    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
     2506    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      111    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      887    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      869    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      336    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      817    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
