If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
         5220300 function calls (5110457 primitive calls) in 8.625 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      166    0.010    0.000    0.027    0.000 __init__.py:350(namedtuple)
       75    0.010    0.000    0.096    0.001 core.py:2544(_add_prefixes)
  2032/13    0.010    0.000    8.612    0.662 <frozen importlib._bootstrap_external>:934(exec_module)
    29093    0.010    0.000    0.015    0.000 <frozen posixpath>:41(_get_sep)
    11113    0.010    0.000    0.013    0.000 copy.py:243(_keep_alive)
 4058/149    0.010    0.000    7.996    0.054 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     6096    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      903    0.009    0.000    0.015    0.000 enum.py:242(__set_name__)
      628    0.009    0.000    0.060    0.000 _docscrape.py:548(__str__)
    19366    0.009    0.000    0.014    0.000 {built-in method builtins.setattr}
       79    0.009    0.000    0.084    0.001 traitlets.py:1013(setup_class)
41352/39536    0.009    0.000    0.035    0.000 core.py:364(__hash__)
     2958    0.009    0.000    0.011    0.000 _docscrape.py:188(_strip)
    43415    0.009    0.000    0.009    0.000 {method 'rstrip' of 'str' objects}
     5410    0.009    0.000    0.104    0.000 _docscrape.py:573(dedent_lines)
      633    0.009    0.000    0.071    0.000 _docscrape.py:366(_parse_summary)
     2219    0.009    0.000    0.038    0.000 inspect.py:932(getsourcefile)
      624    0.009    0.000    0.072    0.000 _docscrape.py:599(__str__)
    21570    0.009    0.000    0.011    0.000 inspect.py:283(ismodule)
        7    0.009    0.001    0.055    0.008 core.py:1298(add_enabled_units)
      380    0.009    0.000    0.022    0.000 _docscrape.py:290(_parse_see_also)
     9227    0.008    0.000    0.023    0.000 copy.py:201(_deepcopy_list)
     5151    0.008    0.000    0.017    0.000 artist.py:1632(aliased_name)
    30734    0.008    0.000    0.031    0.000 {method 'add' of 'set' objects}
     8518    0.008    0.000    0.455    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2243    0.008    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
    17675    0.008    0.000    0.008    0.000 {method 'rpartition' of 'str' objects}
      131    0.008    0.000    0.303    0.002 artist.py:1676(pprint_setters)
    12305    0.008    0.000    0.008    0.000 {method 'replace' of 'str' objects}
     2386    0.008    0.000    0.013    0.000 core.py:367(_hash)
2239/2231    0.008    0.000    1.140    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
     7051    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:405(parent)
     5744    0.007    0.000    0.045    0.000 __init__.py:178(sub)
4985/2482    0.007    0.000    0.008    0.000 {built-in method _abc._abc_subclasscheck}
     2232    0.007    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
    528/3    0.007    0.000    0.104    0.035 core.py:689(_compose)
     2032    0.007    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
